job_group,search_term,total_trends_interest
backend developer,back end developer,121
business analyst (it),it business analyst,388
cloud engineer,cloud engineer,773
data analyst,data analyst,6129
data scientist,data scientist,2663
database administrator,database administrator,2296
devops engineer,devops engineer,671
engineering manager / tech lead,engineering manager,1407
frontend developer,front end developer,724
full stack developer,full stack developer,1100
it support specialist,it support specialist,819
machine learning engineer,machine learning engineer,319
mobile developer,mobile app developer,70
network / systems administrator,system administrator,5858
product manager (tech),product manager,5706
project manager (it),it project manager,765
qa engineer,qa engineer,3237
security engineer,cyber security engineer,1450
software engineer,software engineer,5381
ux / ui designer,ux designer,2651
